,Suburb,Year,Housing_Type,Value
370,Bendigo,2020,All properties,335.0
371,Bendigo,2021,1 bedroom flats,246.5
372,Bendigo,2021,2 bedroom flats,295.0
373,Bendigo,2021,2 bedroom houses,342.5
374,Bendigo,2021,3 bedroom flats,410.0
375,Bendigo,2021,3 bedroom houses,370.0
376,Bendigo,2021,4 bedroom houses,410.0
377,Bendigo,2021,All properties,350.0
378,Bendigo,2022,1 bedroom flats,270.0
379,Bendigo,2022,2 bedroom flats,320.0
380,Bendigo,2022,2 bedroom houses,350.0
381,Bendigo,2022,3 bedroom flats,430.0
382,Bendigo,2022,3 bedroom houses,400.0
383,Bendigo,2022,4 bedroom houses,450.0
384,Bendigo,2022,All properties,375.0
385,Bentleigh,2018,1 bedroom flats,314.0
386,Bentleigh,2018,2 bedroom flats,435.0
387,Bentleigh,2018,2 bedroom houses,454.0
388,Bentleigh,2018,3 bedroom flats,581.5
389,Bentleigh,2018,3 bedroom houses,550.0
390,Bentleigh,2018,4 bedroom houses,750.0
391,Bentleigh,2018,All properties,487.5
392,Bentleigh,2019,1 bedroom flats,330.0
393,Bentleigh,2019,2 bedroom flats,450.0
394,Bentleigh,2019,2 bedroom houses,460.0
395,Bentleigh,2019,3 bedroom flats,600.0
396,Bentleigh,2019,3 bedroom houses,550.0
397,Bentleigh,2019,4 bedroom houses,760.0
398,Bentleigh,2019,All properties,500.0
399,Bentleigh,2020,1 bedroom flats,325.0
400,Bentleigh,2020,2 bedroom flats,435.0
401,Bentleigh,2020,2 bedroom houses,455.0
402,Bentleigh,2020,3 bedroom flats,572.5
403,Bentleigh,2020,3 bedroom houses,550.0
404,Bentleigh,2020,4 bedroom houses,785.0
405,Bentleigh,2020,All properties,500.0
406,Bentleigh,2021,1 bedroom flats,300.0
407,Bentleigh,2021,2 bedroom flats,417.5
408,Bentleigh,2021,2 bedroom houses,472.5
409,Bentleigh,2021,3 bedroom flats,580.0
410,Bentleigh,2021,3 bedroom houses,562.5
411,Bentleigh,2021,4 bedroom houses,785.0
412,Bentleigh,2021,All properties,490.0
413,Bentleigh,2022,1 bedroom flats,310.0
414,Bentleigh,2022,2 bedroom flats,425.0
415,Bentleigh,2022,2 bedroom houses,480.0
416,Bentleigh,2022,3 bedroom flats,600.0
417,Bentleigh,2022,3 bedroom houses,595.0
418,Bentleigh,2022,4 bedroom houses,820.0
419,Bentleigh,2022,All properties,500.0
420,Berwick,2018,1 bedroom flats,0.0
421,Berwick,2018,2 bedroom flats,332.5
422,Berwick,2018,2 bedroom houses,340.0
423,Berwick,2018,3 bedroom flats,377.5
424,Berwick,2018,3 bedroom houses,377.5
425,Berwick,2018,4 bedroom houses,420.0
426,Berwick,2018,All properties,400.0
427,Berwick,2019,1 bedroom flats,305.0
428,Berwick,2019,2 bedroom flats,337.5
429,Berwick,2019,2 bedroom houses,330.0
430,Berwick,2019,3 bedroom flats,380.0
431,Berwick,2019,3 bedroom houses,375.0
432,Berwick,2019,4 bedroom houses,420.0
433,Berwick,2019,All properties,395.0
434,Berwick,2020,1 bedroom flats,315.0
435,Berwick,2020,2 bedroom flats,335.0
436,Berwick,2020,2 bedroom houses,339.0
