,housing_type,budget,school_type,results
94,2 bedroom houses,800,Secondary,"['cranbourne', 'canterbury', 'donvale']"
95,2 bedroom houses,800,Pri/Sec,"['elsternwick', 'broadmeadows', 'hampton']"
96,3 bedroom flats,100,0,"['prahran', 'cranbourne', 'broadmeadows']"
97,3 bedroom flats,100,Primary,"['hampton', 'newport', 'hastings']"
98,3 bedroom flats,100,Secondary,"['cranbourne', 'broadmeadows', 'ferntree gully']"
99,3 bedroom flats,100,Pri/Sec,"['broadmeadows', 'cranbourne', 'boronia']"
100,3 bedroom flats,200,0,"['prahran', 'broadmeadows', 'cranbourne']"
101,3 bedroom flats,200,Primary,"['hampton', 'newport', 'donvale']"
102,3 bedroom flats,200,Secondary,"['cranbourne', 'broadmeadows', 'ferntree gully']"
103,3 bedroom flats,200,Pri/Sec,"['broadmeadows', 'cranbourne', 'boronia']"
104,3 bedroom flats,300,0,"['prahran', 'cranbourne', 'broadmeadows']"
105,3 bedroom flats,300,Primary,"['hampton', 'newport', 'donvale']"
106,3 bedroom flats,300,Secondary,"['cranbourne', 'broadmeadows', 'greensborough']"
107,3 bedroom flats,300,Pri/Sec,"['broadmeadows', 'cranbourne', 'boronia']"
108,3 bedroom flats,400,0,"['prahran', 'cranbourne', 'broadmeadows']"
109,3 bedroom flats,400,Primary,"['hampton', 'newport', 'cranbourne']"
110,3 bedroom flats,400,Secondary,"['cranbourne', 'ferntree gully', 'canterbury']"
111,3 bedroom flats,400,Pri/Sec,"['cranbourne', 'broadmeadows', 'boronia']"
112,3 bedroom flats,500,0,"['prahran', 'donvale', 'newport']"
113,3 bedroom flats,500,Primary,"['hampton', 'newport', 'donvale']"
114,3 bedroom flats,500,Secondary,"['donvale', 'canterbury', 'cranbourne']"
115,3 bedroom flats,500,Pri/Sec,"['broadmeadows', 'boronia', 'mentone']"
116,3 bedroom flats,600,0,"['prahran', 'donvale', 'newport']"
117,3 bedroom flats,600,Primary,"['hampton', 'newport', 'donvale']"
118,3 bedroom flats,600,Secondary,"['canterbury', 'donvale', 'cranbourne']"
119,3 bedroom flats,600,Pri/Sec,"['mentone', 'broadmeadows', 'elsternwick']"
120,3 bedroom flats,700,0,"['prahran', 'hampton', 'newport']"
121,3 bedroom flats,700,Primary,"['hampton', 'newport', 'donvale']"
122,3 bedroom flats,700,Secondary,"['canterbury', 'cranbourne', 'donvale']"
123,3 bedroom flats,700,Pri/Sec,"['elsternwick', 'broadmeadows', 'boronia']"
124,3 bedroom flats,800,0,"['prahran', 'newport', 'donvale']"
125,3 bedroom flats,800,Primary,"['hampton', 'newport', 'donvale']"
126,3 bedroom flats,800,Secondary,"['canterbury', 'cranbourne', 'donvale']"
127,3 bedroom flats,800,Pri/Sec,"['elsternwick', 'broadmeadows', 'boronia']"
128,3 bedroom houses,100,0,"['prahran', 'cranbourne', 'broadmeadows']"
129,3 bedroom houses,100,Primary,"['hampton', 'newport', 'donvale']"
130,3 bedroom houses,100,Secondary,"['cranbourne', 'ferntree gully', 'broadmeadows']"
131,3 bedroom houses,100,Pri/Sec,"['broadmeadows', 'cranbourne', 'boronia']"
132,3 bedroom houses,200,0,"['prahran', 'broadmeadows', 'cranbourne']"
133,3 bedroom houses,200,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
134,3 bedroom houses,200,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
135,3 bedroom houses,200,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
136,3 bedroom houses,300,0,"['prahran', 'broadmeadows', 'cranbourne']"
137,3 bedroom houses,300,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
138,3 bedroom houses,300,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
139,3 bedroom houses,300,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
140,3 bedroom houses,400,0,"['prahran', 'broadmeadows', 'cranbourne']"
141,3 bedroom houses,400,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
142,3 bedroom houses,400,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
143,3 bedroom houses,400,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
144,3 bedroom houses,500,0,"['prahran', 'broadmeadows', 'cranbourne']"
145,3 bedroom houses,500,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
146,3 bedroom houses,500,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
147,3 bedroom houses,500,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
148,3 bedroom houses,600,0,"['prahran', 'broadmeadows', 'cranbourne']"
149,3 bedroom houses,600,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
150,3 bedroom houses,600,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
151,3 bedroom houses,600,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
152,3 bedroom houses,700,0,"['prahran', 'broadmeadows', 'cranbourne']"
153,3 bedroom houses,700,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
154,3 bedroom houses,700,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
155,3 bedroom houses,700,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
156,3 bedroom houses,800,0,"['prahran', 'broadmeadows', 'cranbourne']"
157,3 bedroom houses,800,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
158,3 bedroom houses,800,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
159,3 bedroom houses,800,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
