,Suburb,Housing_Type,Value,No_of_child_charity,No_of_adult_charity,No_of_bus_stop,No_of_train_station,School_Type,No_of_school
7754,coburg,2 bedroom houses,470.0,20.0,29.0,0.0,2.0,Secondary,2.0
7755,pascoe vale south,2 bedroom houses,470.0,4.0,1.0,0.0,0.0,Pri/Sec,1.0
7756,pascoe vale south,2 bedroom houses,470.0,4.0,1.0,0.0,0.0,Primary,1.0
7757,coburg,3 bedroom flats,550.0,20.0,29.0,0.0,2.0,Pri/Sec,1.0
7758,coburg,3 bedroom flats,550.0,20.0,29.0,0.0,2.0,Primary,5.0
7759,coburg,3 bedroom flats,550.0,20.0,29.0,0.0,2.0,Secondary,2.0
7760,pascoe vale south,3 bedroom flats,550.0,4.0,1.0,0.0,0.0,Pri/Sec,1.0
7761,pascoe vale south,3 bedroom flats,550.0,4.0,1.0,0.0,0.0,Primary,1.0
7762,coburg,3 bedroom houses,550.0,20.0,29.0,0.0,2.0,Pri/Sec,1.0
7763,coburg,3 bedroom houses,550.0,20.0,29.0,0.0,2.0,Primary,5.0
7764,coburg,3 bedroom houses,550.0,20.0,29.0,0.0,2.0,Secondary,2.0
7765,pascoe vale south,3 bedroom houses,550.0,4.0,1.0,0.0,0.0,Pri/Sec,1.0
7766,pascoe vale south,3 bedroom houses,550.0,4.0,1.0,0.0,0.0,Primary,1.0
7767,coburg,4 bedroom houses,675.0,20.0,29.0,0.0,2.0,Pri/Sec,1.0
7768,coburg,4 bedroom houses,675.0,20.0,29.0,0.0,2.0,Primary,5.0
7769,coburg,4 bedroom houses,675.0,20.0,29.0,0.0,2.0,Secondary,2.0
7770,pascoe vale south,4 bedroom houses,675.0,4.0,1.0,0.0,0.0,Pri/Sec,1.0
7771,pascoe vale south,4 bedroom houses,675.0,4.0,1.0,0.0,0.0,Primary,1.0
7772,coburg,All properties,440.0,20.0,29.0,0.0,2.0,Pri/Sec,1.0
7773,coburg,All properties,440.0,20.0,29.0,0.0,2.0,Primary,5.0
7774,coburg,All properties,440.0,20.0,29.0,0.0,2.0,Secondary,2.0
7775,pascoe vale south,All properties,440.0,4.0,1.0,0.0,0.0,Pri/Sec,1.0
7776,pascoe vale south,All properties,440.0,4.0,1.0,0.0,0.0,Primary,1.0
8057,collingwood,1 bedroom flats,370.0,15.0,47.0,0.0,0.0,Pri/Sec,1.0
8058,collingwood,1 bedroom flats,370.0,15.0,47.0,0.0,0.0,Primary,1.0
8059,abbotsford,1 bedroom flats,370.0,18.0,27.0,0.0,2.0,Pri/Sec,1.0
8060,abbotsford,1 bedroom flats,370.0,18.0,27.0,0.0,2.0,Primary,1.0
8061,collingwood,2 bedroom flats,500.0,15.0,47.0,0.0,0.0,Pri/Sec,1.0
8062,collingwood,2 bedroom flats,500.0,15.0,47.0,0.0,0.0,Primary,1.0
8063,abbotsford,2 bedroom flats,500.0,18.0,27.0,0.0,2.0,Pri/Sec,1.0
8064,abbotsford,2 bedroom flats,500.0,18.0,27.0,0.0,2.0,Primary,1.0
8065,collingwood,2 bedroom houses,600.0,15.0,47.0,0.0,0.0,Pri/Sec,1.0
8066,collingwood,2 bedroom houses,600.0,15.0,47.0,0.0,0.0,Primary,1.0
8067,abbotsford,2 bedroom houses,600.0,18.0,27.0,0.0,2.0,Pri/Sec,1.0
8068,abbotsford,2 bedroom houses,600.0,18.0,27.0,0.0,2.0,Primary,1.0
8069,collingwood,3 bedroom flats,788.0,15.0,47.0,0.0,0.0,Pri/Sec,1.0
8070,collingwood,3 bedroom flats,788.0,15.0,47.0,0.0,0.0,Primary,1.0
8071,abbotsford,3 bedroom flats,788.0,18.0,27.0,0.0,2.0,Pri/Sec,1.0
8072,abbotsford,3 bedroom flats,788.0,18.0,27.0,0.0,2.0,Primary,1.0
8073,collingwood,3 bedroom houses,790.0,15.0,47.0,0.0,0.0,Pri/Sec,1.0
8074,collingwood,3 bedroom houses,790.0,15.0,47.0,0.0,0.0,Primary,1.0
8075,abbotsford,3 bedroom houses,790.0,18.0,27.0,0.0,2.0,Pri/Sec,1.0
8076,abbotsford,3 bedroom houses,790.0,18.0,27.0,0.0,2.0,Primary,1.0
8077,collingwood,4 bedroom houses,950.0,15.0,47.0,0.0,0.0,Pri/Sec,1.0
8078,collingwood,4 bedroom houses,950.0,15.0,47.0,0.0,0.0,Primary,1.0
8079,abbotsford,4 bedroom houses,950.0,18.0,27.0,0.0,2.0,Pri/Sec,1.0
8080,abbotsford,4 bedroom houses,950.0,18.0,27.0,0.0,2.0,Primary,1.0
8081,collingwood,All properties,450.0,15.0,47.0,0.0,0.0,Pri/Sec,1.0
8082,collingwood,All properties,450.0,15.0,47.0,0.0,0.0,Primary,1.0
8083,abbotsford,All properties,450.0,18.0,27.0,0.0,2.0,Pri/Sec,1.0
8084,abbotsford,All properties,450.0,18.0,27.0,0.0,2.0,Primary,1.0
8225,corio,1 bedroom flats,243.0,6.0,7.0,75.0,0.0,Pri/Sec,2.0
8226,corio,1 bedroom flats,243.0,6.0,7.0,75.0,0.0,Primary,1.0
8227,corio,2 bedroom flats,315.0,6.0,7.0,75.0,0.0,Pri/Sec,2.0
8228,corio,2 bedroom flats,315.0,6.0,7.0,75.0,0.0,Primary,1.0
8229,corio,2 bedroom houses,300.0,6.0,7.0,75.0,0.0,Pri/Sec,2.0
8230,corio,2 bedroom houses,300.0,6.0,7.0,75.0,0.0,Primary,1.0
8231,corio,3 bedroom flats,380.0,6.0,7.0,75.0,0.0,Pri/Sec,2.0
8232,corio,3 bedroom flats,380.0,6.0,7.0,75.0,0.0,Primary,1.0
8233,corio,3 bedroom houses,350.0,6.0,7.0,75.0,0.0,Pri/Sec,2.0
8234,corio,3 bedroom houses,350.0,6.0,7.0,75.0,0.0,Primary,1.0
8235,corio,4 bedroom houses,418.0,6.0,7.0,75.0,0.0,Pri/Sec,2.0
8236,corio,4 bedroom houses,418.0,6.0,7.0,75.0,0.0,Primary,1.0
8237,corio,All properties,330.0,6.0,7.0,75.0,0.0,Pri/Sec,2.0
8238,corio,All properties,330.0,6.0,7.0,75.0,0.0,Primary,1.0
8449,craigieburn,1 bedroom flats,318.0,13.0,22.0,0.0,1.0,Pri/Sec,1.0
8450,craigieburn,1 bedroom flats,318.0,13.0,22.0,0.0,1.0,Primary,7.0
8451,craigieburn,1 bedroom flats,318.0,13.0,22.0,0.0,1.0,Secondary,2.0
8452,craigieburn,2 bedroom flats,339.0,13.0,22.0,0.0,1.0,Pri/Sec,1.0
8453,craigieburn,2 bedroom flats,339.0,13.0,22.0,0.0,1.0,Primary,7.0
8454,craigieburn,2 bedroom flats,339.0,13.0,22.0,0.0,1.0,Secondary,2.0
8455,craigieburn,2 bedroom houses,350.0,13.0,22.0,0.0,1.0,Pri/Sec,1.0
8456,craigieburn,2 bedroom houses,350.0,13.0,22.0,0.0,1.0,Primary,7.0
8457,craigieburn,2 bedroom houses,350.0,13.0,22.0,0.0,1.0,Secondary,2.0
8458,craigieburn,3 bedroom flats,370.0,13.0,22.0,0.0,1.0,Pri/Sec,1.0
8459,craigieburn,3 bedroom flats,370.0,13.0,22.0,0.0,1.0,Primary,7.0
8460,craigieburn,3 bedroom flats,370.0,13.0,22.0,0.0,1.0,Secondary,2.0
8461,craigieburn,3 bedroom houses,390.0,13.0,22.0,0.0,1.0,Pri/Sec,1.0
8462,craigieburn,3 bedroom houses,390.0,13.0,22.0,0.0,1.0,Primary,7.0
8463,craigieburn,3 bedroom houses,390.0,13.0,22.0,0.0,1.0,Secondary,2.0
8464,craigieburn,4 bedroom houses,440.0,13.0,22.0,0.0,1.0,Pri/Sec,1.0
8465,craigieburn,4 bedroom houses,440.0,13.0,22.0,0.0,1.0,Primary,7.0
8466,craigieburn,4 bedroom houses,440.0,13.0,22.0,0.0,1.0,Secondary,2.0
8467,craigieburn,All properties,400.0,13.0,22.0,0.0,1.0,Pri/Sec,1.0
8468,craigieburn,All properties,400.0,13.0,22.0,0.0,1.0,Primary,7.0
8469,craigieburn,All properties,400.0,13.0,22.0,0.0,1.0,Secondary,2.0
8680,cranbourne,1 bedroom flats,290.0,9.0,16.0,0.0,1.0,Pri/Sec,1.0
8681,cranbourne,1 bedroom flats,290.0,9.0,16.0,0.0,1.0,Primary,7.0
8682,cranbourne,1 bedroom flats,290.0,9.0,16.0,0.0,1.0,Secondary,2.0
8683,cranbourne,2 bedroom flats,340.0,9.0,16.0,0.0,1.0,Pri/Sec,1.0
8684,cranbourne,2 bedroom flats,340.0,9.0,16.0,0.0,1.0,Primary,7.0
8685,cranbourne,2 bedroom flats,340.0,9.0,16.0,0.0,1.0,Secondary,2.0
8686,cranbourne,2 bedroom houses,360.0,9.0,16.0,0.0,1.0,Pri/Sec,1.0
8687,cranbourne,2 bedroom houses,360.0,9.0,16.0,0.0,1.0,Primary,7.0
8688,cranbourne,2 bedroom houses,360.0,9.0,16.0,0.0,1.0,Secondary,2.0
8689,cranbourne,3 bedroom flats,390.0,9.0,16.0,0.0,1.0,Pri/Sec,1.0
8690,cranbourne,3 bedroom flats,390.0,9.0,16.0,0.0,1.0,Primary,7.0
8691,cranbourne,3 bedroom flats,390.0,9.0,16.0,0.0,1.0,Secondary,2.0
8692,cranbourne,3 bedroom houses,400.0,9.0,16.0,0.0,1.0,Pri/Sec,1.0
8693,cranbourne,3 bedroom houses,400.0,9.0,16.0,0.0,1.0,Primary,7.0
8694,cranbourne,3 bedroom houses,400.0,9.0,16.0,0.0,1.0,Secondary,2.0
8695,cranbourne,4 bedroom houses,455.0,9.0,16.0,0.0,1.0,Pri/Sec,1.0
8696,cranbourne,4 bedroom houses,455.0,9.0,16.0,0.0,1.0,Primary,7.0
8697,cranbourne,4 bedroom houses,455.0,9.0,16.0,0.0,1.0,Secondary,2.0
8698,cranbourne,All properties,430.0,9.0,16.0,0.0,1.0,Pri/Sec,1.0
8699,cranbourne,All properties,430.0,9.0,16.0,0.0,1.0,Primary,7.0
8700,cranbourne,All properties,430.0,9.0,16.0,0.0,1.0,Secondary,2.0
9051,croydon,1 bedroom flats,320.0,18.0,32.0,0.0,1.0,Primary,6.0
9052,croydon,1 bedroom flats,320.0,18.0,32.0,0.0,1.0,Secondary,2.0
9053,lilydale,1 bedroom flats,320.0,13.0,21.0,0.0,1.0,Pri/Sec,1.0
9054,lilydale,1 bedroom flats,320.0,13.0,21.0,0.0,1.0,Primary,3.0
9055,lilydale,1 bedroom flats,320.0,13.0,21.0,0.0,1.0,Secondary,3.0
9056,croydon,2 bedroom flats,385.0,18.0,32.0,0.0,1.0,Primary,6.0
9057,croydon,2 bedroom flats,385.0,18.0,32.0,0.0,1.0,Secondary,2.0
9058,lilydale,2 bedroom flats,385.0,13.0,21.0,0.0,1.0,Pri/Sec,1.0
9059,lilydale,2 bedroom flats,385.0,13.0,21.0,0.0,1.0,Primary,3.0
9060,lilydale,2 bedroom flats,385.0,13.0,21.0,0.0,1.0,Secondary,3.0
9061,croydon,2 bedroom houses,390.0,18.0,32.0,0.0,1.0,Primary,6.0
9062,croydon,2 bedroom houses,390.0,18.0,32.0,0.0,1.0,Secondary,2.0
9063,lilydale,2 bedroom houses,390.0,13.0,21.0,0.0,1.0,Pri/Sec,1.0
9064,lilydale,2 bedroom houses,390.0,13.0,21.0,0.0,1.0,Primary,3.0
9065,lilydale,2 bedroom houses,390.0,13.0,21.0,0.0,1.0,Secondary,3.0
9066,croydon,3 bedroom flats,470.0,18.0,32.0,0.0,1.0,Primary,6.0
9067,croydon,3 bedroom flats,470.0,18.0,32.0,0.0,1.0,Secondary,2.0
9068,lilydale,3 bedroom flats,470.0,13.0,21.0,0.0,1.0,Pri/Sec,1.0
9069,lilydale,3 bedroom flats,470.0,13.0,21.0,0.0,1.0,Primary,3.0
9070,lilydale,3 bedroom flats,470.0,13.0,21.0,0.0,1.0,Secondary,3.0
9071,croydon,3 bedroom houses,460.0,18.0,32.0,0.0,1.0,Primary,6.0
9072,croydon,3 bedroom houses,460.0,18.0,32.0,0.0,1.0,Secondary,2.0
9073,lilydale,3 bedroom houses,460.0,13.0,21.0,0.0,1.0,Pri/Sec,1.0
9074,lilydale,3 bedroom houses,460.0,13.0,21.0,0.0,1.0,Primary,3.0
9075,lilydale,3 bedroom houses,460.0,13.0,21.0,0.0,1.0,Secondary,3.0
9076,croydon,4 bedroom houses,580.0,18.0,32.0,0.0,1.0,Primary,6.0
9077,croydon,4 bedroom houses,580.0,18.0,32.0,0.0,1.0,Secondary,2.0
9078,lilydale,4 bedroom houses,580.0,13.0,21.0,0.0,1.0,Pri/Sec,1.0
9079,lilydale,4 bedroom houses,580.0,13.0,21.0,0.0,1.0,Primary,3.0
9080,lilydale,4 bedroom houses,580.0,13.0,21.0,0.0,1.0,Secondary,3.0
9081,croydon,All properties,450.0,18.0,32.0,0.0,1.0,Primary,6.0
9082,croydon,All properties,450.0,18.0,32.0,0.0,1.0,Secondary,2.0
9083,lilydale,All properties,450.0,13.0,21.0,0.0,1.0,Pri/Sec,1.0
9084,lilydale,All properties,450.0,13.0,21.0,0.0,1.0,Primary,3.0
9085,lilydale,All properties,450.0,13.0,21.0,0.0,1.0,Secondary,3.0
9226,dandenong,1 bedroom flats,265.0,36.0,57.0,0.0,1.0,Primary,6.0
9227,dandenong,1 bedroom flats,265.0,36.0,57.0,0.0,1.0,Secondary,2.0
9228,dandenong,2 bedroom flats,320.0,36.0,57.0,0.0,1.0,Primary,6.0
9229,dandenong,2 bedroom flats,320.0,36.0,57.0,0.0,1.0,Secondary,2.0
9230,dandenong,2 bedroom houses,360.0,36.0,57.0,0.0,1.0,Primary,6.0
9231,dandenong,2 bedroom houses,360.0,36.0,57.0,0.0,1.0,Secondary,2.0
9232,dandenong,3 bedroom flats,410.0,36.0,57.0,0.0,1.0,Primary,6.0
9233,dandenong,3 bedroom flats,410.0,36.0,57.0,0.0,1.0,Secondary,2.0
9234,dandenong,3 bedroom houses,410.0,36.0,57.0,0.0,1.0,Primary,6.0
9235,dandenong,3 bedroom houses,410.0,36.0,57.0,0.0,1.0,Secondary,2.0
9236,dandenong,4 bedroom houses,545.0,36.0,57.0,0.0,1.0,Primary,6.0
9237,dandenong,4 bedroom houses,545.0,36.0,57.0,0.0,1.0,Secondary,2.0
9238,dandenong,All properties,360.0,36.0,57.0,0.0,1.0,Primary,6.0
9239,dandenong,All properties,360.0,36.0,57.0,0.0,1.0,Secondary,2.0
9590,dandenong north,1 bedroom flats,270.0,11.0,11.0,0.0,0.0,Primary,4.0
9591,dandenong north,1 bedroom flats,270.0,11.0,11.0,0.0,0.0,Secondary,1.0
9592,endeavour hills,1 bedroom flats,270.0,14.0,16.0,0.0,0.0,Pri/Sec,1.0
9593,endeavour hills,1 bedroom flats,270.0,14.0,16.0,0.0,0.0,Primary,7.0
9594,endeavour hills,1 bedroom flats,270.0,14.0,16.0,0.0,0.0,Secondary,1.0
9595,dandenong north,2 bedroom flats,344.0,11.0,11.0,0.0,0.0,Primary,4.0
9596,dandenong north,2 bedroom flats,344.0,11.0,11.0,0.0,0.0,Secondary,1.0
9597,endeavour hills,2 bedroom flats,344.0,14.0,16.0,0.0,0.0,Pri/Sec,1.0
9598,endeavour hills,2 bedroom flats,344.0,14.0,16.0,0.0,0.0,Primary,7.0
9599,endeavour hills,2 bedroom flats,344.0,14.0,16.0,0.0,0.0,Secondary,1.0
9600,dandenong north,2 bedroom houses,333.0,11.0,11.0,0.0,0.0,Primary,4.0
9601,dandenong north,2 bedroom houses,333.0,11.0,11.0,0.0,0.0,Secondary,1.0
9602,endeavour hills,2 bedroom houses,333.0,14.0,16.0,0.0,0.0,Pri/Sec,1.0
9603,endeavour hills,2 bedroom houses,333.0,14.0,16.0,0.0,0.0,Primary,7.0
9604,endeavour hills,2 bedroom houses,333.0,14.0,16.0,0.0,0.0,Secondary,1.0
9605,dandenong north,3 bedroom flats,390.0,11.0,11.0,0.0,0.0,Primary,4.0
9606,dandenong north,3 bedroom flats,390.0,11.0,11.0,0.0,0.0,Secondary,1.0
9607,endeavour hills,3 bedroom flats,390.0,14.0,16.0,0.0,0.0,Pri/Sec,1.0
9608,endeavour hills,3 bedroom flats,390.0,14.0,16.0,0.0,0.0,Primary,7.0
9609,endeavour hills,3 bedroom flats,390.0,14.0,16.0,0.0,0.0,Secondary,1.0
9610,dandenong north,3 bedroom houses,385.0,11.0,11.0,0.0,0.0,Primary,4.0
9611,dandenong north,3 bedroom houses,385.0,11.0,11.0,0.0,0.0,Secondary,1.0
9612,endeavour hills,3 bedroom houses,385.0,14.0,16.0,0.0,0.0,Pri/Sec,1.0
9613,endeavour hills,3 bedroom houses,385.0,14.0,16.0,0.0,0.0,Primary,7.0
9614,endeavour hills,3 bedroom houses,385.0,14.0,16.0,0.0,0.0,Secondary,1.0
9615,dandenong north,4 bedroom houses,450.0,11.0,11.0,0.0,0.0,Primary,4.0
9616,dandenong north,4 bedroom houses,450.0,11.0,11.0,0.0,0.0,Secondary,1.0
9617,endeavour hills,4 bedroom houses,450.0,14.0,16.0,0.0,0.0,Pri/Sec,1.0
9618,endeavour hills,4 bedroom houses,450.0,14.0,16.0,0.0,0.0,Primary,7.0
9619,endeavour hills,4 bedroom houses,450.0,14.0,16.0,0.0,0.0,Secondary,1.0
9620,dandenong north,All properties,380.0,11.0,11.0,0.0,0.0,Primary,4.0
9621,dandenong north,All properties,380.0,11.0,11.0,0.0,0.0,Secondary,1.0
9622,endeavour hills,All properties,380.0,14.0,16.0,0.0,0.0,Pri/Sec,1.0
9623,endeavour hills,All properties,380.0,14.0,16.0,0.0,0.0,Primary,7.0
9624,endeavour hills,All properties,380.0,14.0,16.0,0.0,0.0,Secondary,1.0
9695,docklands,1 bedroom flats,380.0,15.0,24.0,0.0,0.0,Primary,1.0
9696,docklands,2 bedroom flats,500.0,15.0,24.0,0.0,0.0,Primary,1.0
9697,docklands,2 bedroom houses,0.0,15.0,24.0,0.0,0.0,Primary,1.0
9698,docklands,3 bedroom flats,850.0,15.0,24.0,0.0,0.0,Primary,1.0
9699,docklands,3 bedroom houses,0.0,15.0,24.0,0.0,0.0,Primary,1.0
9700,docklands,4 bedroom houses,0.0,15.0,24.0,0.0,0.0,Primary,1.0
9701,docklands,All properties,450.0,15.0,24.0,0.0,0.0,Primary,1.0
10052,doncaster east,1 bedroom flats,350.0,17.0,23.0,0.0,0.0,Primary,5.0
10053,doncaster east,1 bedroom flats,350.0,17.0,23.0,0.0,0.0,Secondary,1.0
10054,donvale,1 bedroom flats,350.0,12.0,15.0,0.0,0.0,Pri/Sec,1.0
10055,donvale,1 bedroom flats,350.0,12.0,15.0,0.0,0.0,Primary,2.0
10056,donvale,1 bedroom flats,350.0,12.0,15.0,0.0,0.0,Secondary,1.0
10057,doncaster east,2 bedroom flats,420.0,17.0,23.0,0.0,0.0,Primary,5.0
10058,doncaster east,2 bedroom flats,420.0,17.0,23.0,0.0,0.0,Secondary,1.0
10059,donvale,2 bedroom flats,420.0,12.0,15.0,0.0,0.0,Pri/Sec,1.0
10060,donvale,2 bedroom flats,420.0,12.0,15.0,0.0,0.0,Primary,2.0
10061,donvale,2 bedroom flats,420.0,12.0,15.0,0.0,0.0,Secondary,1.0
10062,doncaster east,2 bedroom houses,395.0,17.0,23.0,0.0,0.0,Primary,5.0
10063,doncaster east,2 bedroom houses,395.0,17.0,23.0,0.0,0.0,Secondary,1.0
10064,donvale,2 bedroom houses,395.0,12.0,15.0,0.0,0.0,Pri/Sec,1.0
10065,donvale,2 bedroom houses,395.0,12.0,15.0,0.0,0.0,Primary,2.0
10066,donvale,2 bedroom houses,395.0,12.0,15.0,0.0,0.0,Secondary,1.0
10067,doncaster east,3 bedroom flats,520.0,17.0,23.0,0.0,0.0,Primary,5.0
10068,doncaster east,3 bedroom flats,520.0,17.0,23.0,0.0,0.0,Secondary,1.0
10069,donvale,3 bedroom flats,520.0,12.0,15.0,0.0,0.0,Pri/Sec,1.0
10070,donvale,3 bedroom flats,520.0,12.0,15.0,0.0,0.0,Primary,2.0
10071,donvale,3 bedroom flats,520.0,12.0,15.0,0.0,0.0,Secondary,1.0
10072,doncaster east,3 bedroom houses,500.0,17.0,23.0,0.0,0.0,Primary,5.0
10073,doncaster east,3 bedroom houses,500.0,17.0,23.0,0.0,0.0,Secondary,1.0
10074,donvale,3 bedroom houses,500.0,12.0,15.0,0.0,0.0,Pri/Sec,1.0
10075,donvale,3 bedroom houses,500.0,12.0,15.0,0.0,0.0,Primary,2.0
10076,donvale,3 bedroom houses,500.0,12.0,15.0,0.0,0.0,Secondary,1.0
10077,doncaster east,4 bedroom houses,600.0,17.0,23.0,0.0,0.0,Primary,5.0
10078,doncaster east,4 bedroom houses,600.0,17.0,23.0,0.0,0.0,Secondary,1.0
10079,donvale,4 bedroom houses,600.0,12.0,15.0,0.0,0.0,Pri/Sec,1.0
10080,donvale,4 bedroom houses,600.0,12.0,15.0,0.0,0.0,Primary,2.0
10081,donvale,4 bedroom houses,600.0,12.0,15.0,0.0,0.0,Secondary,1.0
10082,doncaster east,All properties,500.0,17.0,23.0,0.0,0.0,Primary,5.0
10083,doncaster east,All properties,500.0,17.0,23.0,0.0,0.0,Secondary,1.0
10084,donvale,All properties,500.0,12.0,15.0,0.0,0.0,Pri/Sec,1.0
10085,donvale,All properties,500.0,12.0,15.0,0.0,0.0,Primary,2.0
10086,donvale,All properties,500.0,12.0,15.0,0.0,0.0,Secondary,1.0
10297,dromana,1 bedroom flats,323.0,6.0,12.0,0.0,0.0,Primary,1.0
10298,dromana,1 bedroom flats,323.0,6.0,12.0,0.0,0.0,Secondary,1.0
10299,portsea,1 bedroom flats,323.0,2.0,2.0,0.0,0.0,0,0.0
10300,dromana,2 bedroom flats,400.0,6.0,12.0,0.0,0.0,Primary,1.0
10301,dromana,2 bedroom flats,400.0,6.0,12.0,0.0,0.0,Secondary,1.0
10302,portsea,2 bedroom flats,400.0,2.0,2.0,0.0,0.0,0,0.0
10303,dromana,2 bedroom houses,400.0,6.0,12.0,0.0,0.0,Primary,1.0
10304,dromana,2 bedroom houses,400.0,6.0,12.0,0.0,0.0,Secondary,1.0
10305,portsea,2 bedroom houses,400.0,2.0,2.0,0.0,0.0,0,0.0
10306,dromana,3 bedroom flats,510.0,6.0,12.0,0.0,0.0,Primary,1.0
10307,dromana,3 bedroom flats,510.0,6.0,12.0,0.0,0.0,Secondary,1.0
10308,portsea,3 bedroom flats,510.0,2.0,2.0,0.0,0.0,0,0.0
10309,dromana,3 bedroom houses,500.0,6.0,12.0,0.0,0.0,Primary,1.0
10310,dromana,3 bedroom houses,500.0,6.0,12.0,0.0,0.0,Secondary,1.0
10311,portsea,3 bedroom houses,500.0,2.0,2.0,0.0,0.0,0,0.0
10312,dromana,4 bedroom houses,675.0,6.0,12.0,0.0,0.0,Primary,1.0
10313,dromana,4 bedroom houses,675.0,6.0,12.0,0.0,0.0,Secondary,1.0
10314,portsea,4 bedroom houses,675.0,2.0,2.0,0.0,0.0,0,0.0
10315,dromana,All properties,500.0,6.0,12.0,0.0,0.0,Primary,1.0
10316,dromana,All properties,500.0,6.0,12.0,0.0,0.0,Secondary,1.0
10317,portsea,All properties,500.0,2.0,2.0,0.0,0.0,0,0.0
10388,east brunswick,1 bedroom flats,350.0,0.0,1.0,0.0,0.0,0,0.0
10389,east brunswick,2 bedroom flats,440.0,0.0,1.0,0.0,0.0,0,0.0
10390,east brunswick,2 bedroom houses,530.0,0.0,1.0,0.0,0.0,0,0.0
10391,east brunswick,3 bedroom flats,655.0,0.0,1.0,0.0,0.0,0,0.0
10392,east brunswick,3 bedroom houses,650.0,0.0,1.0,0.0,0.0,0,0.0
10393,east brunswick,4 bedroom houses,850.0,0.0,1.0,0.0,0.0,0,0.0
10394,east brunswick,All properties,420.0,0.0,1.0,0.0,0.0,0,0.0
10465,east hawthorn,1 bedroom flats,325.0,0.0,0.0,0.0,0.0,0,0.0
10466,east hawthorn,2 bedroom flats,420.0,0.0,0.0,0.0,0.0,0,0.0
10467,east hawthorn,2 bedroom houses,555.0,0.0,0.0,0.0,0.0,0,0.0
10468,east hawthorn,3 bedroom flats,600.0,0.0,0.0,0.0,0.0,0,0.0
10469,east hawthorn,3 bedroom houses,730.0,0.0,0.0,0.0,0.0,0,0.0
10470,east hawthorn,4 bedroom houses,1005.0,0.0,0.0,0.0,0.0,0,0.0
10471,east hawthorn,All properties,400.0,0.0,0.0,0.0,0.0,0,0.0
10542,east melbourne,1 bedroom flats,383.0,35.0,58.0,0.0,1.0,0,0.0
10543,east melbourne,2 bedroom flats,530.0,35.0,58.0,0.0,1.0,0,0.0
10544,east melbourne,2 bedroom houses,0.0,35.0,58.0,0.0,1.0,0,0.0
10545,east melbourne,3 bedroom flats,865.0,35.0,58.0,0.0,1.0,0,0.0
10546,east melbourne,3 bedroom houses,1000.0,35.0,58.0,0.0,1.0,0,0.0
10547,east melbourne,4 bedroom houses,0.0,35.0,58.0,0.0,1.0,0,0.0
10548,east melbourne,All properties,470.0,35.0,58.0,0.0,1.0,0,0.0
10619,east st kilda,1 bedroom flats,295.0,2.0,2.0,0.0,0.0,0,0.0
10620,east st kilda,2 bedroom flats,400.0,2.0,2.0,0.0,0.0,0,0.0
10621,east st kilda,2 bedroom houses,595.0,2.0,2.0,0.0,0.0,0,0.0
10622,east st kilda,3 bedroom flats,560.0,2.0,2.0,0.0,0.0,0,0.0
10623,east st kilda,3 bedroom houses,715.0,2.0,2.0,0.0,0.0,0,0.0
10624,east st kilda,4 bedroom houses,868.0,2.0,2.0,0.0,0.0,0,0.0
10625,east st kilda,All properties,390.0,2.0,2.0,0.0,0.0,0,0.0
10836,echuca,1 bedroom flats,210.0,11.0,21.0,19.0,0.0,Pri/Sec,1.0
10837,echuca,1 bedroom flats,210.0,11.0,21.0,19.0,0.0,Primary,4.0
10838,echuca,1 bedroom flats,210.0,11.0,21.0,19.0,0.0,Secondary,2.0
10839,echuca,2 bedroom flats,320.0,11.0,21.0,19.0,0.0,Pri/Sec,1.0
10840,echuca,2 bedroom flats,320.0,11.0,21.0,19.0,0.0,Primary,4.0
10841,echuca,2 bedroom flats,320.0,11.0,21.0,19.0,0.0,Secondary,2.0
10842,echuca,2 bedroom houses,340.0,11.0,21.0,19.0,0.0,Pri/Sec,1.0
10843,echuca,2 bedroom houses,340.0,11.0,21.0,19.0,0.0,Primary,4.0
10844,echuca,2 bedroom houses,340.0,11.0,21.0,19.0,0.0,Secondary,2.0
10845,echuca,3 bedroom flats,400.0,11.0,21.0,19.0,0.0,Pri/Sec,1.0
10846,echuca,3 bedroom flats,400.0,11.0,21.0,19.0,0.0,Primary,4.0
10847,echuca,3 bedroom flats,400.0,11.0,21.0,19.0,0.0,Secondary,2.0
10848,echuca,3 bedroom houses,400.0,11.0,21.0,19.0,0.0,Pri/Sec,1.0
10849,echuca,3 bedroom houses,400.0,11.0,21.0,19.0,0.0,Primary,4.0
10850,echuca,3 bedroom houses,400.0,11.0,21.0,19.0,0.0,Secondary,2.0
10851,echuca,4 bedroom houses,510.0,11.0,21.0,19.0,0.0,Pri/Sec,1.0
10852,echuca,4 bedroom houses,510.0,11.0,21.0,19.0,0.0,Primary,4.0
10853,echuca,4 bedroom houses,510.0,11.0,21.0,19.0,0.0,Secondary,2.0
10854,echuca,All properties,380.0,11.0,21.0,19.0,0.0,Pri/Sec,1.0
10855,echuca,All properties,380.0,11.0,21.0,19.0,0.0,Primary,4.0
10856,echuca,All properties,380.0,11.0,21.0,19.0,0.0,Secondary,2.0
10997,elsternwick,1 bedroom flats,305.0,14.0,15.0,0.0,1.0,Pri/Sec,2.0
10998,elsternwick,1 bedroom flats,305.0,14.0,15.0,0.0,1.0,Primary,2.0
10999,elsternwick,2 bedroom flats,460.0,14.0,15.0,0.0,1.0,Pri/Sec,2.0
